"Indikatorens navn";"Fylke nummer";"Fylke navn";"Natur typer";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCREC_005";"32";"Akershus";"Flomskogsmark";"2018-2024";1.45;"Yellow"
"ENCREC_005";"32";"Akershus";"Frisk kalkedellauvskog";"2018-2024";3.66;"Yellow"
"ENCREC_005";"32";"Akershus";"Frisk kalkgranskog";"2018-2024";0.49;"Yellow"
"ENCREC_005";"32";"Akershus";"Frisk lågurtedellauvskog";"2018-2024";0.44;"Yellow"
"ENCREC_005";"32";"Akershus";"Frisk rik edellauvskog";"2018-2024";0.86;"Yellow"
"ENCREC_005";"32";"Akershus";"Gammel furuskog med gamle trær";"2018-2024";3.97;"Yellow"
"ENCREC_005";"32";"Akershus";"Gammel granskog";"2018-2024";0.29;"Yellow"
"ENCREC_005";"32";"Akershus";"Gammel granskog med gamle trær";"2018-2024";0.06;"Yellow"
"ENCREC_005";"32";"Akershus";"Gammel granskog med liggende død ved";"2018-2024";0.28;"Yellow"
"ENCREC_005";"32";"Akershus";"Gammel høgstaudegråorskog";"2018-2024";0.17;"Yellow"
"ENCREC_005";"32";"Akershus";"Gammel lågurtgranskog";"2018-2024";1.91;"Yellow"
"ENCREC_005";"32";"Akershus";"Gammel lågurtospeskog";"2018-2024";0.76;"Yellow"
"ENCREC_005";"32";"Akershus";"Gråor-heggeskog";"2018-2024";0.36;"Yellow"
"ENCREC_005";"32";"Akershus";"Hagemark";"2018-2024";6.68;"Yellow"
"ENCREC_005";"32";"Akershus";"Hule eiker";"2018-2024";10.79;"Yellow"
"ENCREC_005";"32";"Akershus";"Høgstaude-edellauvskog";"2018-2024";0.11;"Yellow"
"ENCREC_005";"32";"Akershus";"Kalk- og lågurtfuruskog";"2018-2024";1.74;"Yellow"
"ENCREC_005";"32";"Akershus";"Kalkbarskog, grandominert";"2018-2024";0;"Yellow"
"ENCREC_005";"32";"Akershus";"Kalkedellauvskog";"2018-2024";0.04;"Yellow"
"ENCREC_005";"32";"Akershus";"Kalkfuruskog";"2018-2024";0.53;"Yellow"
"ENCREC_005";"32";"Akershus";"Kalkhasselskog";"2018-2024";0.09;"Yellow"
"ENCREC_005";"32";"Akershus";"Kalklindeskog";"2018-2024";0.18;"Yellow"
"ENCREC_005";"32";"Akershus";"Kalkrik alm-lind-hasselskog";"2018-2024";0.72;"Yellow"
"ENCREC_005";"32";"Akershus";"Kalksjø";"2018-2024";0.07;"Yellow"
"ENCREC_005";"32";"Akershus";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";0;"Yellow"
"ENCREC_005";"32";"Akershus";"Lågurtalm-lind-hasselskog";"2018-2024";1.58;"Yellow"
"ENCREC_005";"32";"Akershus";"Lågurtedellauvskog";"2018-2024";0;"Yellow"
"ENCREC_005";"32";"Akershus";"Lågurteikeskog";"2018-2024";0.37;"Yellow"
"ENCREC_005";"32";"Akershus";"Lågurtfuruskog";"2018-2024";2.1;"Yellow"
"ENCREC_005";"32";"Akershus";"Naturbeitemark";"2018-2024";2.94;"Yellow"
"ENCREC_005";"32";"Akershus";"Ravinedal";"2018-2024";16.11;"Yellow"
"ENCREC_005";"32";"Akershus";"Rik edellauvskog";"2018-2024";11.91;"Yellow"
"ENCREC_005";"32";"Akershus";"Rik gransumpskog";"2018-2024";0.35;"Yellow"
"ENCREC_005";"32";"Akershus";"Rik svartorsumpskog";"2018-2024";0.57;"Yellow"
"ENCREC_005";"32";"Akershus";"Rik åpen sørlig jordvannsmyr";"2018-2024";0.49;"Yellow"
"ENCREC_005";"32";"Akershus";"Saltpåvirket svartorstrandskog";"2018-2024";0.02;"Yellow"
"ENCREC_005";"32";"Akershus";"Semi-naturlig eng";"2018-2024";0.71;"Yellow"
"ENCREC_005";"32";"Akershus";"Slåttemark";"2018-2024";2.13;"Yellow"
"ENCREC_005";"32";"Akershus";"Store gamle trær";"2018-2024";1.04;"Yellow"
"ENCREC_005";"32";"Akershus";"Svært tørkeutsatt sørlig kalkberg";"2018-2024";0.3;"Yellow"
"ENCREC_005";"32";"Akershus";"Viktig bekkedrag";"2018-2024";0.01;"Yellow"
"ENCREC_005";"32";"Akershus";"Åpen grunnlendt kalkmark i boreonemoral sone";"2018-2024";0.02;"Yellow"
"ENCREC_005";"33";"Buskerud";"Boreal hei";"2018-2024";39.29;"Yellow"
"ENCREC_005";"33";"Buskerud";"Eng-aktig sterkt endret fastmark";"2018-2024";0.35;"Yellow"
"ENCREC_005";"33";"Buskerud";"Flomskogsmark";"2018-2024";0.89;"Yellow"
"ENCREC_005";"33";"Buskerud";"Frisk lågurtedellauvskog";"2018-2024";0.42;"Yellow"
"ENCREC_005";"33";"Buskerud";"Gammel fattig sumpskog";"2018-2024";1.36;"Yellow"
"ENCREC_005";"33";"Buskerud";"Gammel furuskog med gamle trær";"2018-2024";2.06;"Yellow"
"ENCREC_005";"33";"Buskerud";"Gammel furuskog med stående død ved";"2018-2024";3.92;"Yellow"
"ENCREC_005";"33";"Buskerud";"Gammel grandominert naturskog";"2018-2024";2.09;"Yellow"
"ENCREC_005";"33";"Buskerud";"Gammel granskog";"2018-2024";11.23;"Yellow"
"ENCREC_005";"33";"Buskerud";"Gammel granskog med gamle trær";"2018-2024";17.09;"Yellow"
"ENCREC_005";"33";"Buskerud";"Gammel granskog med liggende død ved";"2018-2024";0.48;"Yellow"
"ENCREC_005";"33";"Buskerud";"Hule eiker";"2018-2024";1.99;"Yellow"
"ENCREC_005";"33";"Buskerud";"Høgereligende og nordlig nedbørsmyr";"2018-2024";27.02;"Yellow"
"ENCREC_005";"33";"Buskerud";"Kalk- og lågurtfuruskog";"2018-2024";0.31;"Yellow"
"ENCREC_005";"33";"Buskerud";"Kalkbarskog";"2018-2024";6.6;"Yellow"
"ENCREC_005";"33";"Buskerud";"Kalkbarskog, grandominert";"2018-2024";0.88;"Yellow"
"ENCREC_005";"33";"Buskerud";"Kalkedellauvskog";"2018-2024";0;"Yellow"
"ENCREC_005";"33";"Buskerud";"Kalkfuruskog";"2018-2024";2.29;"Yellow"
"ENCREC_005";"33";"Buskerud";"Kalkrik alm-lind-hasselskog";"2018-2024";10.25;"Yellow"
"ENCREC_005";"33";"Buskerud";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";2.42;"Yellow"
"ENCREC_005";"33";"Buskerud";"Lågurtedellauvskog";"2018-2024";0.39;"Yellow"
"ENCREC_005";"33";"Buskerud";"Lågurteikeskog";"2018-2024";0.55;"Yellow"
"ENCREC_005";"33";"Buskerud";"Lågurtfuruskog";"2018-2024";6.06;"Yellow"
"ENCREC_005";"33";"Buskerud";"Naturbeitemark";"2018-2024";17.87;"Yellow"
"ENCREC_005";"33";"Buskerud";"Ravinedal";"2018-2024";0.49;"Yellow"
"ENCREC_005";"33";"Buskerud";"Rik barskog";"2018-2024";0;"Yellow"
"ENCREC_005";"33";"Buskerud";"Rik edellauvskog";"2018-2024";2.72;"Yellow"
"ENCREC_005";"33";"Buskerud";"Rik sandfuruskog";"2018-2024";0.12;"Yellow"
"ENCREC_005";"33";"Buskerud";"Semi-naturlig eng";"2018-2024";2.39;"Yellow"
"ENCREC_005";"33";"Buskerud";"Semi-naturlig strandeng";"2018-2024";1.15;"Yellow"
"ENCREC_005";"33";"Buskerud";"Slåttemark";"2018-2024";5.63;"Yellow"
"ENCREC_005";"33";"Buskerud";"Slåttemyr";"2018-2024";0.46;"Yellow"
"ENCREC_005";"33";"Buskerud";"Åpen kalkmark";"2018-2024";0.3;"Yellow"
"ENCREC_005";"34";"Innlandet";"Boreal hei";"2018-2024";7.32;"Yellow"
"ENCREC_005";"34";"Innlandet";"Eng-aktig sterkt endret fastmark";"2018-2024";0.09;"Yellow"
"ENCREC_005";"34";"Innlandet";"Flomskogsmark";"2018-2024";1.86;"Yellow"
"ENCREC_005";"34";"Innlandet";"Gammel granskog med gamle trær";"2018-2024";0.26;"Yellow"
"ENCREC_005";"34";"Innlandet";"Gammel lågurtgranskog";"2018-2024";0;"Yellow"
"ENCREC_005";"34";"Innlandet";"Hagemark";"2018-2024";1.79;"Yellow"
