"Indikatorens navn";"Fylke nummer";"Fylke navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCREC_001";"03";"Oslo";"2018";106.29;106.29;"Yellow";"Yellow"
"ENCREC_001";"03";"Oslo";"2019";85.41;191.7;"Yellow";"Yellow"
"ENCREC_001";"03";"Oslo";"2020";108.83;300.53;"Yellow";"Yellow"
"ENCREC_001";"03";"Oslo";"2021";162.37;462.9;"Yellow";"Yellow"
"ENCREC_001";"03";"Oslo";"2022";129.87;592.77;"Yellow";"Yellow"
"ENCREC_001";"03";"Oslo";"2023";135.62;728.39;"Yellow";"Yellow"
"ENCREC_001";"03";"Oslo";"2024";61.47;789.86;"Yellow";"Yellow"
"ENCREC_001";"03";"Oslo";"Endring 2018-2024";NA;683.57;"NA";"Yellow"
"ENCREC_001";"11";"Rogaland";"2018";275.84;275.84;"Yellow";"Yellow"
"ENCREC_001";"11";"Rogaland";"2019";375.4;651.24;"Yellow";"Yellow"
"ENCREC_001";"11";"Rogaland";"2020";959.94;1611.18;"Yellow";"Yellow"
"ENCREC_001";"11";"Rogaland";"2021";632.53;2243.71;"Yellow";"Yellow"
"ENCREC_001";"11";"Rogaland";"2022";578.31;2822.02;"Yellow";"Yellow"
"ENCREC_001";"11";"Rogaland";"2023";562.84;3384.86;"Green";"Yellow"
"ENCREC_001";"11";"Rogaland";"2024";441.1;3825.96;"Yellow";"Yellow"
"ENCREC_001";"11";"Rogaland";"Endring 2018-2024";NA;3550.12;"NA";"Yellow"
"ENCREC_001";"15";"Møre og Romsdal";"2018";112.27;112.27;"Yellow";"Yellow"
"ENCREC_001";"15";"Møre og Romsdal";"2019";219.14;331.41;"Yellow";"Yellow"
"ENCREC_001";"15";"Møre og Romsdal";"2020";312.68;644.09;"Yellow";"Yellow"
"ENCREC_001";"15";"Møre og Romsdal";"2021";399.1;1043.19;"Yellow";"Yellow"
"ENCREC_001";"15";"Møre og Romsdal";"2022";514.39;1557.58;"Yellow";"Yellow"
"ENCREC_001";"15";"Møre og Romsdal";"2023";369.6;1927.18;"Yellow";"Yellow"
"ENCREC_001";"15";"Møre og Romsdal";"2024";296.49;2223.67;"Yellow";"Yellow"
"ENCREC_001";"15";"Møre og Romsdal";"Endring 2018-2024";NA;2111.4;"NA";"Yellow"
"ENCREC_001";"18";"Nordland - Nordlánnda";"2018";122.65;122.65;"Yellow";"Yellow"
"ENCREC_001";"18";"Nordland - Nordlánnda";"2019";427.6;550.25;"Yellow";"Yellow"
"ENCREC_001";"18";"Nordland - Nordlánnda";"2020";842.85;1393.1;"Yellow";"Yellow"
"ENCREC_001";"18";"Nordland - Nordlánnda";"2021";940.42;2333.52;"Orange";"Orange"
