"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Natur typer";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCREC_005";"03";"0301";"Oslo";"Flomskogsmark";"2018-2024";1.42;"Yellow"
"ENCREC_005";"03";"0301";"Oslo";"Frisk kalkedellauvskog";"2018-2024";0.01;"Yellow"
"ENCREC_005";"03";"0301";"Oslo";"Frisk lågurtedellauvskog";"2018-2024";0.49;"Yellow"
"ENCREC_005";"03";"0301";"Oslo";"Gammel høgstaudegråorskog";"2018-2024";0.28;"Yellow"
"ENCREC_005";"03";"0301";"Oslo";"Hule eiker";"2018-2024";0.61;"Yellow"
"ENCREC_005";"03";"0301";"Oslo";"Kalkhasselskog";"2018-2024";0.45;"Yellow"
"ENCREC_005";"03";"0301";"Oslo";"Lågurtedellauvskog";"2018-2024";0.06;"Yellow"
"ENCREC_005";"03";"0301";"Oslo";"Slåttemark";"2018-2024";0.26;"Yellow"
"ENCREC_005";"11";"1101";"Eigersund";"Kystlynghei";"2018-2024";33.24;"Yellow"
"ENCREC_005";"11";"1101";"Eigersund";"Naturbeitemark";"2018-2024";0.35;"Yellow"
"ENCREC_005";"11";"1103";"Stavanger";"Hule eiker";"2018-2024";0.66;"Yellow"
"ENCREC_005";"11";"1103";"Stavanger";"Kystlynghei";"2018-2024";0.17;"Yellow"
"ENCREC_005";"11";"1103";"Stavanger";"Naturbeitemark";"2018-2024";0.81;"Yellow"
"ENCREC_005";"11";"1103";"Stavanger";"Småbiotoper";"2018-2024";0.17;"Yellow"
"ENCREC_005";"11";"1103";"Stavanger";"Store gamle trær";"2018-2024";0.06;"Yellow"
"ENCREC_005";"11";"1106";"Haugesund";"Kalkrik helofyttsump";"2018-2024";0.15;"Yellow"
"ENCREC_005";"11";"1106";"Haugesund";"Kystlynghei";"2018-2024";0.64;"Yellow"
"ENCREC_005";"11";"1108";"Sandnes";"Gammel fattig edellauvskog";"2018-2024";0.31;"Orange"
"ENCREC_005";"11";"1108";"Sandnes";"Hule eiker";"2018-2024";3.03;"Yellow"
"ENCREC_005";"11";"1108";"Sandnes";"Kystlynghei";"2018-2024";39.56;"Yellow"
"ENCREC_005";"11";"1108";"Sandnes";"Parklandskap";"2018-2024";0.07;"Yellow"
"ENCREC_005";"11";"1108";"Sandnes";"Rik svartorsumpskog";"2018-2024";0.22;"Yellow"
"ENCREC_005";"11";"1111";"Sokndal";"Gammel fattig edellauvskog";"2018-2024";0.12;"Yellow"
"ENCREC_005";"11";"1111";"Sokndal";"Kystlynghei";"2018-2024";448.78;"Orange"
"ENCREC_005";"11";"1112";"Lund";"Hule eiker";"2018-2024";0.1;"Yellow"
"ENCREC_005";"11";"1112";"Lund";"Naturbeitemark";"2018-2024";0.23;"Yellow"
"ENCREC_005";"11";"1114";"Bjerkreim";"Hule eiker";"2018-2024";0;"Yellow"
"ENCREC_005";"11";"1114";"Bjerkreim";"Kystlynghei";"2018-2024";7.96;"Yellow"
"ENCREC_005";"11";"1114";"Bjerkreim";"Naturbeitemark";"2018-2024";0.86;"Yellow"
"ENCREC_005";"11";"1119";"Hå";"Kystlynghei";"2018-2024";10.09;"Yellow"
"ENCREC_005";"11";"1119";"Hå";"Naturbeitemark";"2018-2024";13.7;"Yellow"
"ENCREC_005";"11";"1119";"Hå";"Rikt strandberg";"2018-2024";2.02;"Yellow"
"ENCREC_005";"11";"1120";"Klepp";"Parklandskap";"2018-2024";0.39;"Yellow"
"ENCREC_005";"11";"1124";"Sola";"Semi-naturlig strandeng";"2018-2024";2.05;"Yellow"
"ENCREC_005";"11";"1130";"Strand";"Høstingsskog";"2018-2024";0.22;"Yellow"
"ENCREC_005";"11";"1130";"Strand";"Kystlynghei";"2018-2024";0.01;"Yellow"
"ENCREC_005";"11";"1134";"Suldal";"Boreal hei";"2018-2024";11.64;"Yellow"
"ENCREC_005";"11";"1134";"Suldal";"Kanthøymyr";"2018-2024";0.17;"Yellow"
"ENCREC_005";"11";"1144";"Kvitsøy";"Naturbeitemark";"2018-2024";0.27;"Yellow"
"ENCREC_005";"11";"1145";"Bokn";"Eng-aktig sterkt endret fastmark";"2018-2024";0.28;"Yellow"
"ENCREC_005";"11";"1145";"Bokn";"Kystlynghei";"2018-2024";0.71;"Yellow"
"ENCREC_005";"11";"1145";"Bokn";"Naturbeitemark";"2018-2024";2.05;"Yellow"
"ENCREC_005";"11";"1149";"Karmøy";"Kystlynghei";"2018-2024";10.17;"Yellow"
"ENCREC_005";"11";"1149";"Karmøy";"Naturbeitemark";"2018-2024";0.29;"Yellow"
"ENCREC_005";"11";"1149";"Karmøy";"Øyblandingsmyr";"2018-2024";0.28;"Yellow"
"ENCREC_005";"11";"1151";"Utsira";"Naturbeitemark";"2018-2024";1.39;"Yellow"
"ENCREC_005";"15";"1505";"Kristiansund";"Kystlynghei";"2018-2024";3.08;"Yellow"
"ENCREC_005";"15";"1505";"Kristiansund";"Sørlig nedbørsmyr";"2018-2024";6.67;"Yellow"
"ENCREC_005";"15";"1506";"Molde";"Kystlynghei";"2018-2024";0.34;"Yellow"
"ENCREC_005";"15";"1506";"Molde";"Slåttemark";"2018-2024";0.03;"Yellow"
"ENCREC_005";"15";"1508";"Ålesund";"Frisk lågurtedellauvskog";"2018-2024";0;"Yellow"
"ENCREC_005";"15";"1508";"Ålesund";"Lågurtalm-lind-hasselskog";"2018-2024";0;"Yellow"
"ENCREC_005";"15";"1508";"Ålesund";"Naturbeitemark";"2018-2024";0.32;"Yellow"
"ENCREC_005";"15";"1532";"Giske";"Strandeng";"2018-2024";0.24;"Yellow"
"ENCREC_005";"15";"1547";"Aukra";"Kystlynghei";"2018-2024";0.12;"Yellow"
"ENCREC_005";"15";"1566";"Surnadal";"Fossepåvirket berg";"2018-2024";0.14;"Yellow"
"ENCREC_005";"15";"1577";"Volda";"Boreal hei";"2018-2024";0.19;"Yellow"
"ENCREC_005";"15";"1578";"Fjord";"Kalkskog";"2018-2024";0.29;"Yellow"
"ENCREC_005";"15";"1578";"Fjord";"Naturbeitemark";"2018-2024";0.84;"Yellow"
"ENCREC_005";"15";"1579";"Hustadvika";"Kystlynghei";"2018-2024";32.96;"Yellow"
"ENCREC_005";"15";"1579";"Hustadvika";"Terrengdekkende myr";"2018-2024";0.09;"Yellow"
"ENCREC_005";"15";"1579";"Hustadvika";"Viktig bekkedrag";"2018-2024";0.15;"Yellow"
