"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Natur typer";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCREC_005";"11";"1145";"Bokn";"Naturbeitemark";"2018-2024";2.06;"Yellow"
"ENCREC_005";"11";"1149";"Karmøy";"Kystlynghei";"2018-2024";13.68;"Yellow"
"ENCREC_005";"11";"1149";"Karmøy";"Naturbeitemark";"2018-2024";0.3;"Yellow"
"ENCREC_005";"11";"1149";"Karmøy";"Øyblandingsmyr";"2018-2024";0.29;"Yellow"
"ENCREC_005";"11";"1151";"Utsira";"Naturbeitemark";"2018-2024";1.38;"Yellow"
"ENCREC_005";"15";"1505";"Kristiansund";"Kystlynghei";"2018-2024";3.08;"Yellow"
"ENCREC_005";"15";"1505";"Kristiansund";"Sørlig nedbørsmyr";"2018-2024";6.67;"Yellow"
"ENCREC_005";"15";"1506";"Molde";"Kystlynghei";"2018-2024";0.34;"Yellow"
"ENCREC_005";"15";"1506";"Molde";"Slåttemark";"2018-2024";0.03;"Yellow"
"ENCREC_005";"15";"1531";"Sula";"Kystlynghei";"2018-2024";0.06;"Yellow"
"ENCREC_005";"15";"1532";"Giske";"Strandeng";"2018-2024";0.24;"Yellow"
"ENCREC_005";"15";"1547";"Aukra";"Kystlynghei";"2018-2024";0.12;"Yellow"
"ENCREC_005";"15";"1578";"Fjord";"Kalkskog";"2018-2024";0.18;"Yellow"
"ENCREC_005";"15";"1578";"Fjord";"Naturbeitemark";"2018-2024";0.84;"Yellow"
"ENCREC_005";"15";"1578";"Fjord";"Slåtte- og beitemyr";"2018-2024";6.49;"Yellow"
"ENCREC_005";"15";"1579";"Hustadvika";"Kystlynghei";"2018-2024";32.96;"Yellow"
"ENCREC_005";"15";"1579";"Hustadvika";"Viktig bekkedrag";"2018-2024";0.15;"Yellow"
"ENCREC_005";"15";"1580";"Haram";"Kystlynghei";"2018-2024";0.56;"Yellow"
"ENCREC_005";"15";"1580";"Haram";"Kystmyr";"2018-2024";0.17;"Yellow"
"ENCREC_005";"18";"1804";"Bodø";"Boreal hei";"2018-2024";2.02;"Yellow"
"ENCREC_005";"18";"1804";"Bodø";"Gammel lågurtselje-rogneskog";"2018-2024";0.16;"Yellow"
"ENCREC_005";"18";"1804";"Bodø";"Naturbeitemark";"2018-2024";3.33;"Yellow"
"ENCREC_005";"18";"1804";"Bodø";"Rik åpen jordvannsmyr i mellomboreal sone";"2018-2024";1.6;"Yellow"
"ENCREC_005";"18";"1804";"Bodø";"Åpen flomfastmark";"2018-2024";0.04;"Yellow"
"ENCREC_005";"18";"1818";"Herøy (Nordland)";"Strandeng";"2018-2024";0.01;"Yellow"
"ENCREC_005";"18";"1833";"Rana";"Gammel lågurtselje-rogneskog";"2018-2024";0.33;"Yellow"
"ENCREC_005";"18";"1838";"Gildeskål";"Boreal hei";"2018-2024";5.67;"Yellow"
"ENCREC_005";"18";"1838";"Gildeskål";"Kystlynghei";"2018-2024";2.52;"Yellow"
"ENCREC_005";"18";"1838";"Gildeskål";"Nakent tørkeutsatt kalkberg";"2018-2024";0.02;"Yellow"
"ENCREC_005";"18";"1838";"Gildeskål";"Sanddyne";"2018-2024";3.9;"Yellow"
"ENCREC_005";"18";"1841";"Fauske/Fuossko";"Lågurtfuruskog";"2018-2024";0.04;"Yellow"
"ENCREC_005";"18";"1845";"Sørfold";"Regnskog";"2018-2024";7.44;"Orange"
"ENCREC_005";"18";"1851";"Lødingen";"Strandeng og strandsump";"2018-2024";0.07;"Yellow"
"ENCREC_005";"18";"1853";"Evenes/Evenášši";"Kalksjø";"2018-2024";7.31;"Yellow"
"ENCREC_005";"18";"1853";"Evenes/Evenášši";"Rikmyr";"2018-2024";15;"Yellow"
"ENCREC_005";"18";"1860";"Vestvågøy";"Kystlynghei";"2018-2024";5.33;"Yellow"
"ENCREC_005";"18";"1860";"Vestvågøy";"Slåttemark";"2018-2024";0.05;"Yellow"
"ENCREC_005";"18";"1865";"Vågan";"Boreal hei";"2018-2024";6.82;"Yellow"
"ENCREC_005";"31";"3101";"Halden";"Hule eiker";"2018-2024";0.01;"Yellow"
"ENCREC_005";"31";"3101";"Halden";"Hurtigstrømmende elveløp";"2018-2024";0.03;"Yellow"
"ENCREC_005";"31";"3101";"Halden";"Rik edellauvskog";"2018-2024";2.46;"Yellow"
"ENCREC_005";"31";"3101";"Halden";"Store gamle trær";"2018-2024";0.02;"Yellow"
"ENCREC_005";"31";"3103";"Moss";"Hule eiker";"2018-2024";3.36;"Yellow"
"ENCREC_005";"31";"3103";"Moss";"Naturbeitemark";"2018-2024";2.5;"Yellow"
"ENCREC_005";"31";"3103";"Moss";"Store gamle trær";"2018-2024";0.07;"Yellow"
"ENCREC_005";"31";"3103";"Moss";"Åpen grunnlendt kalkmark i boreonemoral sone";"2018-2024";0.03;"Yellow"
"ENCREC_005";"31";"3105";"Sarpsborg";"Hule eiker";"2018-2024";1.28;"Yellow"
"ENCREC_005";"31";"3105";"Sarpsborg";"Naturbeitemark";"2018-2024";0.12;"Yellow"
