"Indikatorens navn";"Fylke nummer";"Fylke navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCREC_003";"46";"Vestland";"2023";20537504.35;20531903.07;"Yellow";"Yellow"
"ENCREC_003";"46";"Vestland";"2024";20536386.45;20529640.79;"Yellow";"Yellow"
"ENCREC_003";"46";"Vestland";"Endring 2018-2024";NA;-8546.90000000224;"Yellow";"Yellow"
"ENCREC_003";"50";"Trøndelag - Trööndelage";"2018";30105259.94;30105259.94;"Yellow";"Yellow"
"ENCREC_003";"50";"Trøndelag - Trööndelage";"2019";30104609.2;30103809.09;"Yellow";"Yellow"
"ENCREC_003";"50";"Trøndelag - Trööndelage";"2020";30104241.16;30101990.2;"Yellow";"Yellow"
"ENCREC_003";"50";"Trøndelag - Trööndelage";"2021";30104294.85;30100225;"Yellow";"Yellow"
"ENCREC_003";"50";"Trøndelag - Trööndelage";"2022";30104606.71;30098771.66;"Yellow";"Yellow"
"ENCREC_003";"50";"Trøndelag - Trööndelage";"2023";30104453.72;30097165.33;"Yellow";"Yellow"
"ENCREC_003";"50";"Trøndelag - Trööndelage";"2024";30105416.72;30096522;"Yellow";"Yellow"
"ENCREC_003";"50";"Trøndelag - Trööndelage";"Endring 2018-2024";NA;-8737.94000000134;"Yellow";"Yellow"
"ENCREC_003";"55";"Troms – Romsa – Tromssa";"2018";19367173.11;19367173.11;"Yellow";"Yellow"
"ENCREC_003";"55";"Troms – Romsa – Tromssa";"2019";19367081.76;19366999.92;"Yellow";"Yellow"
"ENCREC_003";"55";"Troms – Romsa – Tromssa";"2020";19366992.15;19366737.12;"Yellow";"Yellow"
"ENCREC_003";"55";"Troms – Romsa – Tromssa";"2021";19366862.38;19366344.55;"Yellow";"Yellow"
"ENCREC_003";"55";"Troms – Romsa – Tromssa";"2022";19366900.25;19365989.85;"Yellow";"Yellow"
"ENCREC_003";"55";"Troms – Romsa – Tromssa";"2023";19366770.24;19365505.14;"Yellow";"Yellow"
"ENCREC_003";"55";"Troms – Romsa – Tromssa";"2024";19366461.69;19364711.88;"Yellow";"Yellow"
"ENCREC_003";"55";"Troms – Romsa – Tromssa";"Endring 2018-2024";NA;-2461.23000000045;"Yellow";"Yellow"
"ENCREC_003";"56";"Finnmark – Finnmárku – Finmarkku";"2018";21092308.35;21092308.35;"Yellow";"Yellow"
"ENCREC_003";"56";"Finnmark – Finnmárku – Finmarkku";"2019";21092144.44;21092096.2;"Yellow";"Yellow"
"ENCREC_003";"56";"Finnmark – Finnmárku – Finmarkku";"2020";21092170.94;21091910.55;"Yellow";"Yellow"
"ENCREC_003";"56";"Finnmark – Finnmárku – Finmarkku";"2021";21092090.28;21091644.24;"Yellow";"Yellow"
"ENCREC_003";"56";"Finnmark – Finnmárku – Finmarkku";"2022";21092093.19;21091380.84;"Yellow";"Yellow"
"ENCREC_003";"56";"Finnmark – Finnmárku – Finmarkku";"2023";21092072.46;21091096.71;"Yellow";"Yellow"
"ENCREC_003";"56";"Finnmark – Finnmárku – Finmarkku";"2024";21092282.01;21091022.13;"Yellow";"Yellow"
"ENCREC_003";"56";"Finnmark – Finnmárku – Finmarkku";"Endring 2018-2024";NA;-1286.22000000253;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2018";329078.22;329078.22;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2019";329104.7;329000.72;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2020";329088.52;328907.04;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2021";329026.6;328751.44;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2022";329064.02;328633.26;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2023";329063.99;328515.05;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2024";329120.78;328453.63;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"Endring 2018-2024";NA;-624.590000000026;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"2018";2888127.93;2888127.93;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"2019";2888071.64;2887801.02;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"2020";2887464.03;2886866.5;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"2021";2887798.89;2886266.84;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"2022";2887849.49;2885717.78;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"2023";2887865.01;2885184.24;"Green";"Yellow"
"ENCREC_003";"11";"Rogaland";"2024";2887977.96;2884763.65;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"Endring 2018-2024";NA;-3364.2799999998;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2018";3871315.63;3871315.63;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2019";3871216.43;3871108.02;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2020";3871133.77;3870817.75;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2021";3871050.64;3870444.35;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2022";3870946.51;3869966.82;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2023";3871079.36;3869622.14;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2024";3871137.57;3869335.67;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"Endring 2018-2024";NA;-1979.95999999996;"Yellow";"Yellow"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2018";15737809.64;15737809.64;"Yellow";"Yellow"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2019";15737565.94;15737451.47;"Yellow";"Yellow"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2020";15737212.93;15736740.29;"Yellow";"Yellow"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2021";15737139.59;15735955.77;"Orange";"Orange"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2022";15737487.04;15735518.7;"Orange";"Orange"
