"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Verdsatte naturtype";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCACC_002";"11";"1133";"Hjelmeland";"Eng-aktig sterkt endret fastmark";"2018-2024";0.52;"Yellow"
"ENCACC_002";"11";"1133";"Hjelmeland";"Naturbeitemark";"2018-2024";0.09;"Yellow"
"ENCACC_002";"11";"1133";"Hjelmeland";"Store gamle trær";"2018-2024";0.33;"Yellow"
"ENCACC_002";"11";"1134";"Suldal";"Boreal hei";"2018-2024";11.64;"Yellow"
"ENCACC_002";"11";"1134";"Suldal";"Kanthøymyr";"2018-2024";0.17;"Yellow"
"ENCACC_002";"11";"1135";"Sauda";"Hule eiker";"2018-2024";0;"Yellow"
"ENCACC_002";"11";"1144";"Kvitsøy";"Naturbeitemark";"2018-2024";4.61;"Orange"
"ENCACC_002";"11";"1144";"Kvitsøy";"Semi-naturlig eng";"2018-2024";0.21;"Yellow"
"ENCACC_002";"11";"1145";"Bokn";"Eng-aktig sterkt endret fastmark";"2018-2024";0.73;"Yellow"
"ENCACC_002";"11";"1145";"Bokn";"Kystlynghei";"2018-2024";45.9;"Yellow"
"ENCACC_002";"11";"1145";"Bokn";"Naturbeitemark";"2018-2024";5.26;"Yellow"
"ENCACC_002";"11";"1146";"Tysvær";"Hule eiker";"2018-2024";0.02;"Yellow"
"ENCACC_002";"11";"1146";"Tysvær";"Kystlynghei";"2018-2024";5.37;"Yellow"
"ENCACC_002";"11";"1146";"Tysvær";"Naturbeitemark";"2018-2024";2.34;"Yellow"
"ENCACC_002";"11";"1149";"Karmøy";"Frisk lågurtedellauvskog";"2018-2024";0.17;"Yellow"
"ENCACC_002";"11";"1149";"Karmøy";"Hagemark";"2018-2024";0;"Yellow"
"ENCACC_002";"11";"1149";"Karmøy";"Hule eiker";"2018-2024";1.97;"Yellow"
"ENCACC_002";"11";"1149";"Karmøy";"Kystlynghei";"2018-2024";28.41;"Yellow"
"ENCACC_002";"11";"1149";"Karmøy";"Lågurtalm-lind-hasselskog";"2018-2024";0.15;"Yellow"
"ENCACC_002";"11";"1149";"Karmøy";"Naturbeitemark";"2018-2024";14.49;"Yellow"
"ENCACC_002";"11";"1149";"Karmøy";"Slåttemark";"2018-2024";0;"Yellow"
"ENCACC_002";"11";"1149";"Karmøy";"Øyblandingsmyr";"2018-2024";0.28;"Yellow"
"ENCACC_002";"11";"1151";"Utsira";"Kystlynghei";"2018-2024";4.43;"Yellow"
"ENCACC_002";"11";"1151";"Utsira";"Naturbeitemark";"2018-2024";11.82;"Yellow"
"ENCACC_002";"11";"1151";"Utsira";"Semi-naturlig eng";"2018-2024";1.3;"Yellow"
