"Indikatorens navn";"Fylke nummer";"Fylke navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCREC_001";"34";"Innlandet";"2020";2500.75;5721.57;"Yellow";"Yellow"
"ENCREC_001";"34";"Innlandet";"2021";3922.4;9643.97;"Yellow";"Yellow"
"ENCREC_001";"34";"Innlandet";"2022";2862.76;12506.73;"Yellow";"Yellow"
"ENCREC_001";"34";"Innlandet";"2023";2629.53;15136.26;"Yellow";"Yellow"
"ENCREC_001";"34";"Innlandet";"2024";1604.78;16741.04;"Orange";"Yellow"
"ENCREC_001";"34";"Innlandet";"Endring 2018-2024";NA;15527.6;"NA";"Yellow"
"ENCREC_001";"39";"Vestfold";"2018";314.93;314.93;"Yellow";"Yellow"
"ENCREC_001";"39";"Vestfold";"2019";487.14;802.07;"Yellow";"Yellow"
"ENCREC_001";"39";"Vestfold";"2020";791.46;1593.53;"Yellow";"Yellow"
"ENCREC_001";"39";"Vestfold";"2021";894.22;2487.75;"Yellow";"Yellow"
"ENCREC_001";"39";"Vestfold";"2022";833.25;3321;"Yellow";"Yellow"
"ENCREC_001";"39";"Vestfold";"2023";631.6;3952.6;"Yellow";"Yellow"
"ENCREC_001";"39";"Vestfold";"2024";194.44;4147.04;"Yellow";"Yellow"
"ENCREC_001";"39";"Vestfold";"Endring 2018-2024";NA;3832.11;"NA";"Yellow"
"ENCREC_001";"40";"Telemark";"2018";193.81;193.81;"Yellow";"Yellow"
"ENCREC_001";"40";"Telemark";"2019";229.45;423.26;"Yellow";"Yellow"
"ENCREC_001";"40";"Telemark";"2020";508.49;931.75;"Yellow";"Yellow"
"ENCREC_001";"40";"Telemark";"2021";680.5;1612.25;"Yellow";"Yellow"
"ENCREC_001";"40";"Telemark";"2022";643.3;2255.55;"Yellow";"Yellow"
"ENCREC_001";"40";"Telemark";"2023";470.26;2725.81;"Green";"Yellow"
"ENCREC_001";"40";"Telemark";"2024";920.19;3646;"Yellow";"Yellow"
"ENCREC_001";"40";"Telemark";"Endring 2018-2024";NA;3452.19;"NA";"Yellow"
"ENCREC_001";"42";"Agder";"2018";548.37;548.37;"Yellow";"Yellow"
"ENCREC_001";"42";"Agder";"2019";678.72;1227.09;"Yellow";"Yellow"
"ENCREC_001";"42";"Agder";"2020";1075.03;2302.12;"Yellow";"Yellow"
"ENCREC_001";"42";"Agder";"2021";793.51;3095.63;"Yellow";"Yellow"
"ENCREC_001";"42";"Agder";"2022";1403.58;4499.21;"Yellow";"Yellow"
"ENCREC_001";"42";"Agder";"2023";673.11;5172.32;"Yellow";"Yellow"
"ENCREC_001";"42";"Agder";"2024";392.86;5565.18;"Orange";"Yellow"
"ENCREC_001";"42";"Agder";"Endring 2018-2024";NA;5016.81;"NA";"Yellow"
"ENCREC_001";"46";"Vestland";"2018";502.48;502.48;"Yellow";"Yellow"
"ENCREC_001";"46";"Vestland";"2019";849.69;1352.17;"Yellow";"Yellow"
"ENCREC_001";"46";"Vestland";"2020";1360.31;2712.48;"Yellow";"Yellow"
"ENCREC_001";"46";"Vestland";"2021";1497.67;4210.15;"Yellow";"Yellow"
"ENCREC_001";"46";"Vestland";"2022";1568.36;5778.51;"Yellow";"Yellow"
"ENCREC_001";"46";"Vestland";"2023";1149.25;6927.76;"Yellow";"Yellow"
"ENCREC_001";"46";"Vestland";"2024";2257.56;9185.32;"Yellow";"Yellow"
"ENCREC_001";"46";"Vestland";"Endring 2018-2024";NA;8682.84;"NA";"Yellow"
"ENCREC_001";"50";"Trøndelag - Trööndelage";"2018";820.66;820.66;"Yellow";"Yellow"
"ENCREC_001";"50";"Trøndelag - Trööndelage";"2019";1514.34;2335;"Yellow";"Yellow"
"ENCREC_001";"50";"Trøndelag - Trööndelage";"2020";1998.54;4333.54;"Yellow";"Yellow"
"ENCREC_001";"50";"Trøndelag - Trööndelage";"2021";1889.34;6222.88;"Yellow";"Yellow"
"ENCREC_001";"50";"Trøndelag - Trööndelage";"2022";1497.09;7719.97;"Yellow";"Yellow"
"ENCREC_001";"50";"Trøndelag - Trööndelage";"2023";1664.36;9384.33;"Yellow";"Yellow"
"ENCREC_001";"50";"Trøndelag - Trööndelage";"2024";663.89;10048.22;"Yellow";"Yellow"
"ENCREC_001";"50";"Trøndelag - Trööndelage";"Endring 2018-2024";NA;9227.56;"NA";"Yellow"
"ENCREC_001";"55";"Troms – Romsa – Tromssa";"2018";81.84;81.84;"Yellow";"Yellow"
"ENCREC_001";"55";"Troms – Romsa – Tromssa";"2019";173.19;255.03;"Yellow";"Yellow"
"ENCREC_001";"55";"Troms – Romsa – Tromssa";"2020";262.8;517.83;"Yellow";"Yellow"
"ENCREC_001";"55";"Troms – Romsa – Tromssa";"2021";392.58;910.41;"Yellow";"Yellow"
"ENCREC_001";"55";"Troms – Romsa – Tromssa";"2022";354.69;1265.1;"Yellow";"Yellow"
"ENCREC_001";"55";"Troms – Romsa – Tromssa";"2023";484.71;1749.81;"Yellow";"Yellow"
"ENCREC_001";"55";"Troms – Romsa – Tromssa";"2024";793.27;2543.08;"Yellow";"Yellow"
"ENCREC_001";"55";"Troms – Romsa – Tromssa";"Endring 2018-2024";NA;2461.24;"NA";"Yellow"
