"Indikatorens navn";"Fylke nummer";"Fylke navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCACC_001";"34";"Innlandet";"2019";6844.78;11212.31;"Yellow";"Yellow"
"ENCACC_001";"34";"Innlandet";"2020";8618.83;19831.14;"Yellow";"Yellow"
"ENCACC_001";"34";"Innlandet";"2021";11491.99;31323.13;"Yellow";"Yellow"
"ENCACC_001";"34";"Innlandet";"2022";9011.24;40334.37;"Yellow";"Yellow"
"ENCACC_001";"34";"Innlandet";"2023";8617.74;48952.11;"Green";"Yellow"
"ENCACC_001";"34";"Innlandet";"2024";4626.28;53578.39;"Yellow";"Yellow"
"ENCACC_001";"34";"Innlandet";"Endring 2018-2024";NA;49210.86;"NA";"Yellow"
"ENCACC_001";"39";"Vestfold";"2018";1253.42;1253.42;"Yellow";"Yellow"
"ENCACC_001";"39";"Vestfold";"2019";1259.2;2512.62;"Yellow";"Yellow"
"ENCACC_001";"39";"Vestfold";"2020";2832.18;5344.8;"Yellow";"Yellow"
"ENCACC_001";"39";"Vestfold";"2021";2674.53;8019.33;"Yellow";"Yellow"
"ENCACC_001";"39";"Vestfold";"2022";2347.82;10367.15;"Yellow";"Yellow"
"ENCACC_001";"39";"Vestfold";"2023";1837.9;12205.05;"Green";"Yellow"
"ENCACC_001";"39";"Vestfold";"2024";506.85;12711.9;"Yellow";"Yellow"
"ENCACC_001";"39";"Vestfold";"Endring 2018-2024";NA;11458.48;"NA";"Yellow"
"ENCACC_001";"40";"Telemark";"2018";1864.41;1864.41;"Yellow";"Yellow"
"ENCACC_001";"40";"Telemark";"2019";1948.41;3812.82;"Yellow";"Yellow"
"ENCACC_001";"40";"Telemark";"2020";4016;7828.82;"Yellow";"Yellow"
"ENCACC_001";"40";"Telemark";"2021";4231.94;12060.76;"Yellow";"Yellow"
"ENCACC_001";"40";"Telemark";"2022";4777.31;16838.07;"Yellow";"Yellow"
"ENCACC_001";"40";"Telemark";"2023";3580.41;20418.48;"Green";"Yellow"
"ENCACC_001";"40";"Telemark";"2024";2521.89;22940.37;"Yellow";"Yellow"
"ENCACC_001";"40";"Telemark";"Endring 2018-2024";NA;21075.96;"NA";"Yellow"
"ENCACC_001";"42";"Agder";"2018";3469.4;3469.4;"Yellow";"Yellow"
"ENCACC_001";"42";"Agder";"2019";5036.8;8506.2;"Yellow";"Yellow"
"ENCACC_001";"42";"Agder";"2020";7771.48;16277.68;"Yellow";"Yellow"
"ENCACC_001";"42";"Agder";"2021";6854.64;23132.32;"Yellow";"Yellow"
"ENCACC_001";"42";"Agder";"2022";7261.71;30394.03;"Yellow";"Yellow"
"ENCACC_001";"42";"Agder";"2023";4737.88;35131.91;"Green";"Yellow"
"ENCACC_001";"42";"Agder";"2024";2101.22;37233.13;"Yellow";"Yellow"
"ENCACC_001";"42";"Agder";"Endring 2018-2024";NA;33763.73;"NA";"Yellow"
"ENCACC_001";"46";"Vestland";"2018";3505.22;3505.22;"Yellow";"Yellow"
"ENCACC_001";"46";"Vestland";"2019";4160;7665.22;"Yellow";"Yellow"
"ENCACC_001";"46";"Vestland";"2020";6517.93;14183.15;"Yellow";"Yellow"
"ENCACC_001";"46";"Vestland";"2021";7385.74;21568.89;"Yellow";"Yellow"
"ENCACC_001";"46";"Vestland";"2022";7153.59;28722.48;"Yellow";"Yellow"
"ENCACC_001";"46";"Vestland";"2023";7710.95;36433.43;"Green";"Yellow"
"ENCACC_001";"46";"Vestland";"2024";5954.69;42388.12;"Yellow";"Yellow"
"ENCACC_001";"46";"Vestland";"Endring 2018-2024";NA;38882.9;"NA";"Yellow"
"ENCACC_001";"50";"Trøndelag - Trööndelage";"2018";2894.67;2894.67;"Yellow";"Yellow"
"ENCACC_001";"50";"Trøndelag - Trööndelage";"2019";4355.34;7250.01;"Yellow";"Yellow"
"ENCACC_001";"50";"Trøndelag - Trööndelage";"2020";6846.16;14096.17;"Yellow";"Yellow"
"ENCACC_001";"50";"Trøndelag - Trööndelage";"2021";7253.49;21349.66;"Yellow";"Yellow"
"ENCACC_001";"50";"Trøndelag - Trööndelage";"2022";5689.67;27039.33;"Yellow";"Yellow"
"ENCACC_001";"50";"Trøndelag - Trööndelage";"2023";4687.13;31726.46;"Green";"Yellow"
"ENCACC_001";"50";"Trøndelag - Trööndelage";"2024";2432.63;34159.09;"Yellow";"Yellow"
"ENCACC_001";"50";"Trøndelag - Trööndelage";"Endring 2018-2024";NA;31264.42;"NA";"Yellow"
"ENCACC_001";"55";"Troms – Romsa – Tromssa";"2018";510.76;510.76;"Yellow";"Yellow"
"ENCACC_001";"55";"Troms – Romsa – Tromssa";"2019";1004.28;1515.04;"Yellow";"Yellow"
"ENCACC_001";"55";"Troms – Romsa – Tromssa";"2020";1272.37;2787.41;"Yellow";"Yellow"
"ENCACC_001";"55";"Troms – Romsa – Tromssa";"2021";1634.85;4422.26;"Yellow";"Yellow"
"ENCACC_001";"55";"Troms – Romsa – Tromssa";"2022";1656.05;6078.31;"Yellow";"Yellow"
"ENCACC_001";"55";"Troms – Romsa – Tromssa";"2023";1564.8;7643.11;"Green";"Yellow"
"ENCACC_001";"55";"Troms – Romsa – Tromssa";"2024";1561.87;9204.98;"Yellow";"Yellow"
"ENCACC_001";"55";"Troms – Romsa – Tromssa";"Endring 2018-2024";NA;8694.22;"NA";"Yellow"
"ENCACC_001";"56";"Finnmark – Finnmárku – Finmarkku";"2018";519.06;519.06;"Yellow";"Yellow"
