"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCREC_003";"11";"1122";"Gjesdal";"2024";396079.29;395908.45;"Yellow";"Yellow"
"ENCREC_003";"11";"1122";"Gjesdal";"Endring 2018-2024";NA;-281.429999999993;"NA";"Yellow"
"ENCREC_003";"11";"1124";"Sola";"2018";3567.15;3567.15;"Yellow";"Yellow"
"ENCREC_003";"11";"1124";"Sola";"2019";3567.75;3566.04;"Yellow";"Yellow"
"ENCREC_003";"11";"1124";"Sola";"2020";3567.67;3564.85;"Yellow";"Yellow"
"ENCREC_003";"11";"1124";"Sola";"2021";3565.08;3561.07;"Yellow";"Yellow"
"ENCREC_003";"11";"1124";"Sola";"2022";3568.06;3560.27;"Yellow";"Yellow"
"ENCREC_003";"11";"1124";"Sola";"2023";3563.35;3554.76;"Yellow";"Yellow"
"ENCREC_003";"11";"1124";"Sola";"2024";3568.57;3554.47;"Yellow";"Yellow"
"ENCREC_003";"11";"1124";"Sola";"Endring 2018-2024";NA;-12.6799999999998;"NA";"Yellow"
"ENCREC_003";"11";"1127";"Randaberg";"2018";2245.73;2245.73;"Yellow";"Yellow"
"ENCREC_003";"11";"1127";"Randaberg";"2019";2235.19;2234.41;"Yellow";"Yellow"
"ENCREC_003";"11";"1127";"Randaberg";"2020";2245.3;2233.2;"Yellow";"Yellow"
"ENCREC_003";"11";"1127";"Randaberg";"2021";2246.51;2233.2;"Yellow";"Yellow"
"ENCREC_003";"11";"1127";"Randaberg";"2022";2246.29;2232.98;"Yellow";"Yellow"
"ENCREC_003";"11";"1127";"Randaberg";"2023";2245.68;2232.15;"Yellow";"Yellow"
"ENCREC_003";"11";"1127";"Randaberg";"2024";2246.22;2231.86;"Yellow";"Yellow"
"ENCREC_003";"11";"1127";"Randaberg";"Endring 2018-2024";NA;-13.8699999999999;"NA";"Yellow"
"ENCREC_003";"11";"1130";"Strand";"2018";138907.95;138907.95;"Yellow";"Yellow"
"ENCREC_003";"11";"1130";"Strand";"2019";138905.78;138903.83;"Yellow";"Yellow"
"ENCREC_003";"11";"1130";"Strand";"2020";138885.61;138879.54;"Yellow";"Yellow"
"ENCREC_003";"11";"1130";"Strand";"2021";138862.31;138831.95;"Yellow";"Yellow"
"ENCREC_003";"11";"1130";"Strand";"2022";138866.08;138788.13;"Yellow";"Yellow"
"ENCREC_003";"11";"1130";"Strand";"2023";138876.09;138754.32;"Green";"Yellow"
"ENCREC_003";"11";"1130";"Strand";"2024";138905.5;138749.92;"Yellow";"Yellow"
"ENCREC_003";"11";"1130";"Strand";"Endring 2018-2024";NA;-158.029999999999;"NA";"Yellow"
"ENCREC_003";"11";"1133";"Hjelmeland";"2018";441172.77;441172.77;"Yellow";"Yellow"
"ENCREC_003";"11";"1133";"Hjelmeland";"2019";441172.59;441171.56;"Yellow";"Yellow"
"ENCREC_003";"11";"1133";"Hjelmeland";"2020";441168.65;441166.41;"Yellow";"Yellow"
"ENCREC_003";"11";"1133";"Hjelmeland";"2021";441171.91;441164.52;"Yellow";"Yellow"
"ENCREC_003";"11";"1133";"Hjelmeland";"2022";441173.53;441164.25;"Yellow";"Yellow"
"ENCREC_003";"11";"1133";"Hjelmeland";"2023";441170.62;441161.07;"Yellow";"Yellow"
"ENCREC_003";"11";"1133";"Hjelmeland";"2024";441172.88;441160.15;"Orange";"Yellow"
"ENCREC_003";"11";"1133";"Hjelmeland";"Endring 2018-2024";NA;-12.6199999999953;"NA";"Yellow"
"ENCREC_003";"11";"1134";"Suldal";"2018";79800.99;79800.99;"Yellow";"Yellow"
"ENCREC_003";"11";"1134";"Suldal";"2019";79789;79778.78;"Yellow";"Yellow"
"ENCREC_003";"11";"1134";"Suldal";"2020";79784.02;79751.59;"Yellow";"Yellow"
